Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Rockaways,2004.0,,0.05,0.447560975609756,,,,,,,,,,,,52.0,52,3029.0,7.4,7228.0,8.4,61975.0,78.2,186.3,6.4,326.3,49.5,67.0,19.6,44.0,65.8,53.5,32.8,38.2,71.0,5.5,7.0,6.2,4.0,3.8,7.8,432240.544433594,287269.60449218797,,,,0.677553315741662,0.8160660985421979,8.0,27.999999999999996,7.7,,15.4,56.099999999999994,45.699999999999996,55.0,7274.133560239109,493.0671139136179,14.467808362249217,1290.0,65.0,9073.0,615.0,64780.0,124729.6,0.0,85.0,305.0,2055.0,
North Shore,2004.0,,0.0434969853574505,0.228682170542636,,,,,,,,,,,,53.0,53,3575.0,5.9,7205.0,5.5,98058.0,85.1,212.2,10.4,349.3,38.4,96.8,23.8,54.4,71.3,61.6,52.6,55.8,108.4,6.0,7.3,6.7,5.6,6.0,11.6,397714.74638671894,301299.0502929689,,,,0.12680297742224397,0.6549093492293909,27.999999999999996,25.999999999999996,6.499999999999999,8.8,29.3,70.8,38.4,40.5,8034.9098911779665,246.86997554033488,14.852986531067808,6060.0,824.0,8625.0,265.0,59231.0,107344.07,60.0,212.0,508.0,1940.0,
Mid-Island,2004.0,,0.0051308363263211,0.0379681888147768,,,,,,,,,,,,54.0,54,2183.0,4.6,6194.0,5.8,85468.0,88.5,247.0,7.6,350.8,47.7,98.0,21.8,55.1,84.0,67.5,55.8,63.0,118.8,5.0,7.3,6.1,4.4,5.0,9.4,501051.635742188,334034.423828125,,,,0.243204752604167,0.568644205729167,7.000000000000001,14.999999999999998,2.4,,16.100000000000005,36.6,28.000000000000004,34.8,8589.422355526536,323.80758804590215,15.861834701778657,5148.0,1276.0,19762.0,745.0,126325.0,230073.74,0.0,96.0,184.0,1352.0,
South Shore,2004.0,,0.0089209855564995,0.0033984706881903,,,,,,,,,,,,55.0,55,1086.0,1.9,6227.0,4.8,107940.0,92.5,255.7,9.8,368.7,49.8,110.0,29.4,59.5,73.6,65.3,63.2,61.2,124.4,7.4,8.4,7.8,6.8,6.6,13.4,501103.7451123049,320673.046875,,,,0.28378021833053,0.579103591570199,4.0,13.0,1.6000000000000003,,15.200000000000001,15.3,26.4,29.299999999999997,8248.681680983102,133.35343192177282,15.749107795779556,7432.0,732.0,11443.0,185.0,73402.0,138725.19,0.0,104.0,96.0,1320.0,
,2001.0,,,,,,,,,,,,,,,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,970270.1351454149,,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,0.0,34058.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
,2002.0,,,,,,,,,,,,,,,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,925572.4779585794,,,,0.944371116404109,0.7878181494030797,7.03427040690957,12.974297194817822,3.799999999999998,,,24.67515395499056,17.837456507390026,14.949451149808377,3581.6734728560173,115.13951385737728,5.907731914692872,1.0,39885.0,129161.0,4152.0,2195239.0,3606164.360000001,0.0,1331.0,4127.0,18552.0,
,2003.0,,,,,,,,,,,,,,,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,686030.1571679049,,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,0.0,83441.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
,2019.0,,,,,,,,,,,,,,,31.0,31,3507.0,4.1,3959.0,2.8,118021.0,94.3,289.7,4.0,389.9,56.5,82.6,26.2,45.7,62.7,52.9,35.6,42.0,77.6,6.1,10.5,8.3,5.0,6.0,11.0,,,24.12331629343098,,,0.944371116404109,0.7878181494030795,7.034270406909569,12.974297194817819,3.7999999999999976,,,24.67515395499056,17.837456507390026,14.949451149808375,3581.673472856017,115.13951385737725,5.907731914692871,0.0,0.0,129161.0,4152.0,2195239.0,3606164.3600000013,0.0,1331.0,4127.0,18552.0,
,2001.0,,,,,,,,,,,,,,,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,2464377.79262427,778476.4691475151,,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,12.0,1968.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
,2002.0,,,,,,,,,,,,,,,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,3065805.8884835895,677329.207920792,,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,27.0,1971.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
,2003.0,,,,,,,,,,,,,,,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,3908168.98382204,648720.7740369058,,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,12.0,2466.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
,2019.0,,,,,,,,,,,,,,,32.0,32,3256.0,4.1,4320.0,3.2,115352.0,96.8,350.2,5.2,393.0,57.3,115.4,26.6,55.9,52.6,54.2,61.0,42.6,103.6,8.3,12.1,10.0,6.8,8.0,14.8,,,12.448772286244699,,,0.9499283971036119,0.908681094818371,7.0,7.0,2.0,,11.8,25.799999999999997,7.8,7.7,3583.359730179845,89.1106990932372,5.437916437971861,0.0,0.0,3579.0,89.0,66035.0,99878.38,0.0,54.0,129.0,273.0,
,2001.0,,,,,,,,,,,,,,,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,,1069847.09513629,,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,0.0,840.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
,2002.0,,,,,,,,,,,,,,,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,3094325.0130276196,865454.899997395,,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,12.0,4656.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
,2003.0,,,,,,,,,,,,,,,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,4793559.47927199,856338.619817998,,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,18.0,8094.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
,2019.0,,,,,,,,,,,,,,,33.0,33,2876.0,2.9,5933.0,3.6,148100.0,94.3,164.9,6.2,413.2,52.6,170.0,38.6,47.0,40.8,44.1,73.2,47.0,120.2,6.5,9.6,7.9,9.0,10.0,19.0,,,8.54202138853284,,,0.9908493832246622,0.993337083369645,3.0000000000000004,12.999999999999998,2.1,8.699999999999998,8.4,13.2,9.5,10.699999999999998,3021.3225472220565,138.03333731994633,5.197971975782174,0.0,0.0,8646.0,395.0,172556.0,286166.06,126.0,126.0,162.0,1092.0,
,2001.0,,,,,,,,,,,,,,,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,7093312.934259752,723956.6809192951,,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,182.0,5390.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
,2002.0,,,,,,,,,,,,,,,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,7414972.381448671,805665.2683689422,,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,378.0,13426.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
,2003.0,,,,,,,,,,,,,,,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,6571257.583417589,574031.860343782,,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,406.0,25242.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
,2019.0,,,,,,,,,,,,,,,34.0,34,4405.0,3.8,5536.0,3.0,175343.0,97.4,351.7,11.0,390.9,61.1,183.2,48.6,55.5,41.0,49.1,98.2,53.6,151.8,6.2,9.5,7.7,9.6,10.4,20.0,,,9.84903601309567,,,0.964513314998435,0.6862002144250811,5.000000000000001,7.000000000000002,0.7999999999999999,4.699999999999999,9.5,12.0,7.1000000000000005,8.2,3304.943448486601,130.1602819543606,5.502069128381815,0.0,0.0,16987.0,669.0,314741.0,513987.43999999994,140.0,350.0,308.0,2086.0,
,2001.0,,,,,,,,,,,,,,,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,237955.05451630102,,,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,82.0,0.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
,2002.0,,,,,,,,,,,,,,,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,249542.33976029197,116620.40408546098,,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,100.0,10.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
,2003.0,,,,,,,,,,,,,,,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,237256.98432760403,83877.60692871589,,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,176.0,4.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
,2019.0,,,,,,,,,,,,,,,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,,,16.537909978257897,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,0.0,0.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
,2001.0,,,,,,,,,,,,,,,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,314445.83110636,138941.181186531,,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,172.0,5.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
,2002.0,,,,,,,,,,,,,,,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,327969.932256384,145535.944460657,,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,229.0,5.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
,2003.0,,,,,,,,,,,,,,,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,366607.002022245,193679.170879676,,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,223.0,5.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
,2019.0,,,,,,,,,,,,,,,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,,,9.75832839512534,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,0.0,0.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
,2001.0,,,,,,,,,,,,,,,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,353934.377338322,229742.899438803,,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,2082.0,258.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
,2002.0,,,,,,,,,,,,,,,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,377878.40020844195,278061.46430432494,,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,2544.0,207.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
,2003.0,,,,,,,,,,,,,,,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,434394.71183013095,275438.066021234,,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,2175.0,357.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
,2019.0,,,,,,,,,,,,,,,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,,,7.615878641955531,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,0.0,0.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
,2001.0,,,,,,,,,,,,,,,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,407317.04168893595,190130.037413148,,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,600.0,54.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
,2002.0,,,,,,,,,,,,,,,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,470565.55497655,209632.67687337202,,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,594.0,726.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
,2003.0,,,,,,,,,,,,,,,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,539534.833164813,269767.41658240603,,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,642.0,774.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
,2019.0,,,,,,,,,,,,,,,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,,,8.30956803851286,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,0.0,0.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
,2001.0,,,,,,,,,,,,,,,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,414629.73543559597,191956.01704168896,,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,162.0,60.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
,2002.0,,,,,,,,,,,,,,,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,463435.77384054195,206763.652944242,,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,231.0,201.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
,2003.0,,,,,,,,,,,,,,,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,542993.389787664,214430.51061678494,,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,228.0,180.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
,2019.0,,,,,,,,,,,,,,,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,,,8.47173144876325,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,0.0,0.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
,2001.0,,,,,,,,,,,,,,,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,409510.84981293406,175504.649919829,,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,621.0,183.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
,2002.0,,,,,,,,,,,,,,,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,443674.87244398106,199633.871808233,,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,786.0,201.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
,2003.0,,,,,,,,,,,,,,,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,511866.380182002,267000.571284125,,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,729.0,147.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
,2019.0,,,,,,,,,,,,,,,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,,,7.89154660325453,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,0.0,0.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
,2001.0,,,,,,,,,,,,,,,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,394885.462319615,197442.731159808,,,,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,103.0,64.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
,2002.0,,,,,,,,,,,,,,,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,463435.77384054207,226727.040125065,,,,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,124.0,139.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
